"Added if there are only 1 gift product parameterized","Ajouté s'il n'y a qu'un seul produit cadeau paramétré"
"Automatically add gift product","Ajouter automatiquement un produit cadeau"
"Edit my choices","Modifier mes choix"
"Maximum number of products offered","Nombre maximum de produit offert"
"Price range","Tranche de prix"
"Select gift product:","Sélecteur des produits offerts:"
"The gift rule is not valid.","La règle de produits offerts n'est pas valide."
"to offer product","Offir un produit"
"to offer product per price range","Offrir un produit par tranche de prix"
"We can't add this gift item to your shopping cart.","Impossible d'ajouter ce produit cadeau"
"We found an invalid request for adding gift product.","Requête d’ajout produit offer au panier invalide."
"You added gift product to your shopping cart.","Vous avez ajouté un produit cadeau dans le panier"
"You entered too many gifts. You can only select %1 gifts.","Vous avez demandé trop de cadeaux. Vous ne pouvez en sélectionner que %1."
"Your session has expired","Votre session a expiré"
"%1: choose your %2 gifts","%1 : sélectionnez vos %2 cadeaux"
